Emp_ID,Prod_ID,Design_Description
22375629,55418314,Exquisite diamond ring for special occasions
33959875,79737858,Elegant sapphire pendant perfect for everyday wear
93353076,28565246,Classic pearl earrings that add timeless elegance
36527178,45142348,Beautiful ruby bracelet for a touch of sophistication
61319987,52752951,Exquisite emerald necklace for a luxurious look
64536583,22295267,Luxurious gold chain that adds a touch of class
20483265,42492125,Sparkling diamond studs for a glamorous appearance
73661224,71389484,Timeless sapphire ring that makes a statement
73935224,96724645,Elegant pearl necklace for a sophisticated look
83620413,45212156,Stunning ruby ring for a touch of elegance
22867120,25485234,Exquisite diamond bracelet that sparkles
16581232,60985460,Elegant sapphire earrings for a sophisticated look
91920787,76138811,Luxurious gold pendant that adds a touch of class
42223576,74898314,Beautiful ruby earrings that make a statement
72703063,30975119,Classic pearl bracelet for timeless elegance
96548426,83558035,Stunning diamond necklace that dazzles
39483588,48482123,Elegant sapphire bracelet for a touch of sophistication
41229673,38338392,Timeless gold ring that complements any outfit
48160832,53486110,Exquisite emerald earrings for a luxurious look
4897284,46646461,Beautiful ruby pendant that adds a pop of color
16453297,27361440,Luxurious diamond chain that shines bright
67587547,45473342,Elegant sapphire studs for a sophisticated look
35388980,79613721,Elegant pearl pendant that exudes elegance
15772548,75788565,Stunning ruby necklace that makes a statement
66288540,12797732,Sparkling diamond earrings for a glamorous look
72545048,44526359,Timeless sapphire ring for a touch of elegance
283229,48227271,Classic gold earrings that complement any outfit
84663222,32146585,Exquisite emerald pendant for a luxurious look
82732526,76183151,Stunning diamond bracelet that dazzles
6181146,36461368,Elegant sapphire bracelet for a touch of luxury
63150126,53735388,Stunning diamond necklace that dazzles
74518714,42395221,Beautiful ruby earrings for a glamorous look
51735588,44370822,Classic gold bracelet for timeless elegance
10338143,99263054,Elegant pearl ring for a sophisticated look
